Year,sev_storm
1953,0
1954,0
1955,0
1956,3
1957,0
1958,0
1959,0
1960,2
1961,0
1962,2
1963,0
1964,0
1965,6
1966,0
1967,0
1968,0
1969,0
1970,17
1971,0
1972,0
1973,235
1974,1
1975,58
1976,35
1977,10
1978,33
1979,71
1980,10
1981,11
1982,61
1983,49
1984,39
1985,2
1986,0
1987,11
1988,0
1989,89
1990,347
1991,102
1992,100
1993,225
1994,325
1995,311
1996,299
1997,587
1998,933
1999,227
2000,508
2001,375
2002,452
2003,895
2004,1048
2005,410
2006,475
2007,980
2008,1260
2009,749
2010,1035
2011,1187
2012,467
2013,387
2014,243
2015,581
2016,325
